iteration,algorithm,config,nash_conv,wall_time_sec,iterations_per_sec
50000,SIMPLE,External Sampling,0.017624,2098.1,24
50000,FULL,External Sampling + Reach-Prob Weighting,0.017255,2098.1,24
50000,True LCFR,"DCFR(1, 1, 1)",0.012453,2098.1,24
50000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.026125,2098.1,24
50000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.069016,2098.1,24
50000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.272218,2098.1,24
100000,SIMPLE,External Sampling,0.008860,4307.0,23
100000,FULL,External Sampling + Reach-Prob Weighting,0.012467,4307.0,23
100000,True LCFR,"DCFR(1, 1, 1)",0.004392,4307.0,23
100000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.017593,4307.0,23
100000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.014450,4307.0,23
100000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.270222,4307.0,23
150000,SIMPLE,External Sampling,0.009306,6564.2,23
150000,FULL,External Sampling + Reach-Prob Weighting,0.008219,6564.2,23
150000,True LCFR,"DCFR(1, 1, 1)",0.006340,6564.2,23
150000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.015878,6564.2,23
150000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.033388,6564.2,23
150000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.269560,6564.2,23
200000,SIMPLE,External Sampling,0.008792,8843.6,23
200000,FULL,External Sampling + Reach-Prob Weighting,0.006874,8843.6,23
200000,True LCFR,"DCFR(1, 1, 1)",0.006946,8843.6,23
200000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.015377,8843.6,23
200000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.038380,8843.6,23
200000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.270281,8843.6,23
250000,SIMPLE,External Sampling,0.008098,11120.1,22
250000,FULL,External Sampling + Reach-Prob Weighting,0.005581,11120.1,22
250000,True LCFR,"DCFR(1, 1, 1)",0.005635,11120.1,22
250000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.012955,11120.1,22
