iteration,algorithm,config,nash_conv,best_nash,best_nash_iteration,wall_time_sec,iterations_per_sec,num_samples
100,SIMPLE,External Sampling,28.173890951091657,28.173890951091657,100,0.038640499114990234,2587.9582896279385,500
200,SIMPLE,External Sampling,28.033506852984825,28.033506852984825,200,0.6620738506317139,302.0811044102877,500
300,SIMPLE,External Sampling,26.313372506921343,26.313372506921343,300,1.2983086109161377,231.06986850245735,500
400,SIMPLE,External Sampling,24.26685468214422,24.26685468214422,400,1.9345033168792725,206.77142112388685,500
500,SIMPLE,External Sampling,23.60132666877082,23.60132666877082,500,2.573087215423584,194.31910313917965,500
600,SIMPLE,External Sampling,23.370091743669448,23.370091743669448,600,3.218445301055908,186.42541471907316,500
700,SIMPLE,External Sampling,22.236700730518915,22.236700730518915,700,3.8645575046539307,181.13328606367438,500
800,SIMPLE,External Sampling,20.901512786474363,20.901512786474363,800,4.509189605712891,177.41547150433524,500
900,SIMPLE,External Sampling,19.76248809263154,19.76248809263154,900,5.156005859375,174.55371939959278,500
1000,SIMPLE,External Sampling,19.76936041866595,19.76248809263154,900,5.809265375137329,172.13880506816412,500
100,FULL,External Sampling + Reach-Prob Weighting,26.420509481222332,26.420509481222332,100,1.2322638034820557,81.15145451601039,500
200,FULL,External Sampling + Reach-Prob Weighting,21.35000514886278,21.35000514886278,200,2.977076292037964,67.18000493802917,500
300,FULL,External Sampling + Reach-Prob Weighting,19.72235970582305,19.72235970582305,300,4.727259397506714,63.461717408236204,500
400,FULL,External Sampling + Reach-Prob Weighting,18.89174100983418,18.89174100983418,400,6.640885829925537,60.23292829361669,500
500,FULL,External Sampling + Reach-Prob Weighting,18.647112623673316,18.647112623673316,500,8.537697076797485,58.56380186629337,500
600,FULL,External Sampling + Reach-Prob Weighting,18.693273469527448,18.647112623673316,500,10.422785758972168,57.56618373197458,500
700,FULL,External Sampling + Reach-Prob Weighting,18.95320697765675,18.647112623673316,500,12.617092847824097,55.480292365504766,500
800,FULL,External Sampling + Reach-Prob Weighting,19.037849291228188,18.647112623673316,500,15.248983144760132,52.46251454313507,500
900,FULL,External Sampling + Reach-Prob Weighting,19.120150833309697,18.647112623673316,500,18.41209888458252,48.88090193528237,500
1000,FULL,External Sampling + Reach-Prob Weighting,19.331064307124688,18.647112623673316,500,21.50750207901001,46.49540408395162,500
100,True LCFR,"DCFR(1, 1, 1)",29.577274773962138,29.577274773962138,100,2.061061143875122,48.51869644778424,500
200,True LCFR,"DCFR(1, 1, 1)",26.35662218003445,26.35662218003445,200,4.97284197807312,40.21845071326721,500
300,True LCFR,"DCFR(1, 1, 1)",24.778321710661196,24.778321710661196,300,7.903594017028809,37.9574152409183,500
400,True LCFR,"DCFR(1, 1, 1)",22.576307843971275,22.576307843971275,400,10.933168411254883,36.585917727950644,500
500,True LCFR,"DCFR(1, 1, 1)",20.190214125614485,20.190214125614485,500,14.001057624816895,35.71158789559935,500
600,True LCFR,"DCFR(1, 1, 1)",18.472638825352245,18.472638825352245,600,17.1814124584198,34.92145953960661,500
700,True LCFR,"DCFR(1, 1, 1)",17.343933760955238,17.343933760955238,700,20.31404757499695,34.45891309526999,500
800,True LCFR,"DCFR(1, 1, 1)",16.31190307021156,16.31190307021156,800,23.33522057533264,34.28294141970398,500
900,True LCFR,"DCFR(1, 1, 1)",16.626002634241278,16.31190307021156,800,26.383422374725342,34.112329599141674,500
1000,True LCFR,"DCFR(1, 1, 1)",15.944310483273675,15.944310483273675,1000,29.355111122131348,34.065617937521004,500
100,SOTA DCFR,"DCFR(1.5, 0, 2)",26.562455787348036,26.562455787348036,100,2.115662097930908,47.26652715374482,500
200,SOTA DCFR,"DCFR(1.5, 0, 2)",24.785771153527325,24.785771153527325,200,5.136376619338989,38.93795467547674,500
300,SOTA DCFR,"DCFR(1.5, 0, 2)",23.78652648336438,23.78652648336438,300,8.204415082931519,36.56567798771184,500
400,SOTA DCFR,"DCFR(1.5, 0, 2)",21.498328787086603,21.498328787086603,400,11.446853876113892,34.94409942933565,500
500,SOTA DCFR,"DCFR(1.5, 0, 2)",20.860538787944318,20.860538787944318,500,14.698233604431152,34.017693109004774,500
600,SOTA DCFR,"DCFR(1.5, 0, 2)",18.566302338673694,18.566302338673694,600,18.03644108772278,33.265986182186126,500
700,SOTA DCFR,"DCFR(1.5, 0, 2)",20.374769450205903,18.566302338673694,600,21.261584758758545,32.923227875177105,500
800,SOTA DCFR,"DCFR(1.5, 0, 2)",17.474527155818755,17.474527155818755,800,24.363767623901367,32.835643991908015,500
900,SOTA DCFR,"DCFR(1.5, 0, 2)",19.54344623945851,17.474527155818755,800,27.5243022441864,32.69837658428181,500
1000,SOTA DCFR,"DCFR(1.5, 0, 2)",19.95951934094413,17.474527155818755,800,30.688161373138428,32.58585575854366,500
